country,country_code,year,population,gdp,christian,islam,buddhist,judaism,nonrelig,other
Albania,AL,1980,2708174,590.6077384,0.3049861423220973,0.4308951310861423,0.0,0.0001161048689138,0.263191011235955,0.0008116104868913
Albania,AL,1981,2762658,663.2942083,0.304300185398357,0.4291032867673114,0.0,0.0001133519832195,0.2647568508251217,0.0010073286275752
Albania,AL,1982,2818168,668.4545042,0.3027237443570495,0.4291093058780112,0.0,0.0001110353706946,0.2661762185233589,0.0012185143754871
Albania,AL,1983,2875647,661.5467824,0.3008159590995968,0.4298819804250084,0.0,0.0001084331029364,0.2674731320021644,0.001459622223294
Albania,AL,1984,2934613,639.4847302,0.2990923047730762,0.4304710976177744,0.0,0.0001059150264787,0.268669852167463,0.0017432854358213
Albania,AL,1985,2995303,639.8659038,0.2980267162664863,0.43,0.0,0.0001038214406493,0.2697869462292864,0.0020825160635779
Albania,AL,1986,3057180,693.8734746,0.2980141103991313,0.427804510644818,0.0,0.0001014850311237,0.2718900061454824,0.0027427490437689
Albania,AL,1987,3118124,674.7933831,0.2987469658417226,0.4245879076184216,0.0,9.956594454241963e-05,0.2749123103854438,0.0037568248225058
Albania,AL,1988,3179553,652.7743214,0.2996504744518789,0.4215096770815574,0.0,9.737421645681724e-05,0.2772671750558544,0.0048045396178971
Albania,AL,1989,3246285,697.9955966,0.3001916166014268,0.4196478739577441,0.0,9.55264194756132e-05,0.2774829508831339,0.0055868861331343
Albania,AL,1990,3274462,617.2304355,0.2998765356265356,0.42,0.0,9.367321867321867e-05,0.2742014742014742,0.0058283169533169
Albania,AL,1991,3281470,336.5869945,0.298283852000793,0.4329411397737296,0.0,9.117757943321736e-05,0.2614238158836742,0.0053155928957069
Albania,AL,1992,3283735,200.8522198,0.2958658860531031,0.4608096526370803,0.0,8.841869725700689e-05,0.2386268897307957,0.0042919544529902
Albania,AL,1993,3281267,367.2792251,0.2933826342323636,0.4934634118592365,0.0,8.618176388187694e-05,0.2120702822239445,0.0031440700262385
Albania,AL,1994,3274382,586.4161351,0.2914760255542827,0.5223362719418709,0.0,8.429519171294529e-05,0.1869145391900069,0.0022000486790775
Albania,AL,1995,3264437,911.3204654,0.2907140482128013,0.54,0.0,8.367968966472707e-05,0.167453034081463,0.0017492380160709
Albania,AL,1996,3252697,1020.976181,0.2851884626369252,0.5571057756528897,0.0,8.461197678314821e-05,0.152227065937748,0.001672281228847
Albania,AL,1997,3238659,728.5455237,0.2713425428778409,0.5852813643574089,0.0,8.764246996862341e-05,0.1373060509991824,0.0016456984726334
Albania,AL,1998,3220660,831.1753441,0.253460587566827,0.6181101547880637,0.0,9.125219917800018e-05,0.1236658928480176,0.0016516648051218
Albania,AL,1999,3199605,1056.344812,0.2372008453559772,0.6466496070257576,0.0,9.479919003572034e-05,0.1133365396526052,0.0016719417149299
Albania,AL,2000,3177586,1160.420471,0.23,0.659,0.0,9.6370061034372e-05,0.1092194025056216,0.001684227433344
