Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burundi,BDI,70.90510003,71.60192994,73.41959798,78.37119832,85.33372867,50.61330401,51.41287382,54.01814253,54.19497827,55.0588389,68.75435398,69.89828176,68.23219179,84.25810693,93.22400483,110.8848275,115.4921318,137.4480444,148.8232325,186.1522736,209.8057367,212.2303319,216.4361914,225.2095245,200.3757118,228.4405426,234.2812448,215.6083115,201.7404008,203.5789442,202.6294462,204.6682584,184.8689705,165.3441203,161.8925843,164.9153117,143.1567412,160.278342,144.4569483,127.5141958,134.5378618,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,199.097633,216.7277053,230.0705774,231.6884964,234.8430454,250.5404811,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,192.0743054,153.9302179
Belgium,BEL,1290.286072,1367.788852,1457.26517,1555.022932,1724.018942,1859.509987,1983.131198,2113.821941,2251.315759,2490.107173,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51658.23829,50822.25185,54690.09427,55954.61063
Benin,BEN,89.85692465,92.08584813,90.77386101,95.71673698,99.7850246,105.1179869,107.6372119,106.5862419,111.2114942,110.3147947,108.8487795,106.8892927,127.927157,153.6094681,164.9465941,196.455786,197.7263611,207.0129622,249.8029262,310.6513871,358.0030542,319.718186,305.0040635,255.9836016,238.5744574,230.4341172,285.7715511,324.2537652,326.1797577,293.3219496,371.1016043,364.689296,301.773297,387.3100548,262.1298074,348.4352389,369.3943841,344.5504915,361.6019831,525.1305972,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442549,1059.413589,1071.525837,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847,1485.38019
Burkina Faso,BFA,69.15024561,72.24237871,77.15292793,78.90877367,80.91478877,82.07461599,82.83606649,84.62720114,84.97378484,86.75553957,81.70756322,84.51493757,99.63358149,114.1376695,124.6714355,152.9015296,155.4854227,175.9638645,223.879112,258.501729,277.5975314,248.7079739,239.0194836,211.9257405,187.8322243,194.0632263,247.4591346,280.2180922,301.1292147,293.1887037,338.5937591,333.7060551,348.5924439,324.1115767,187.2114237,229.0922945,242.7331714,223.8539585,249.5317329,292.8369587,248.9085269,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101,987.3213781
Bangladesh,BGD,82.48127741,90.36857863,92.58942118,94.1423743,92.57829779,98.60414704,104.4220547,114.2098817,114.4149675,125.8803117,130.2181608,124.5339631,87.77376519,109.6917268,164.9863936,249.804254,126.6930442,117.8877714,158.3242552,181.1307067,206.0757143,224.2413924,199.5959446,184.7067729,193.435021,222.2201804,212.1489939,231.4995845,247.901466,263.0057208,283.0537371,272.0649485,273.4650725,280.7572745,280.6030318,309.4586808,371.9179377,379.2849177,385.6168818,388.0956843,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928,2551.017738,2593.416074
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,883.7365783,1007.344545,1278.525114,1149.89464,2259.259226,1470.192593,1361.409384,1820.448664,1660.908913,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.570814,7271.303389,6988.273163,6853.948055,7849.580613,7431.957895,7795.980921,8069.600057,7268.654455,7822.499233,8696.689304,9872.385078,10372.80443,10769.94757,12972.21734,13999.67192,15883.86185,17412.41151
Bahrain,BHR,,,,,,,,,,,1741.822454,1829.740705,2205.917004,2981.092531,3873.716291,3880.440472,5310.191326,6358.420842,6925.988932,7890.829825,9732.725872,10556.50917,10712.15294,10598.84272,10696.93311,9648.65643,7776.956577,8332.914254,8771.785353,8833.411343,9342.538914,10434.1324,10460.15832,11151.8715,11629.35952,11900.93178,12091.78022,12254.66626,11625.03438,12123.35347,14214.48368,13573.23399,13501.47088,14486.0269,15963.94932,17966.16578,19267.28262,20908.40425,23299.49928,19465.31407,21819.32911,25032.78677,26438.67332,26989.76011,26451.79656,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30470.52193,29290.12842,30048.21777
"Bahamas, The",BHS,1459.253825,1555.046608,1651.218619,1759.236922,1883.44386,2029.523413,2239.23964,2452.747632,2668.01498,3026.727572,2916.499984,3004.343566,3013.950167,3341.285217,3079.740141,2840.589653,2993.459238,3253.375434,3720.040579,4994.085352,5742.583625,6028.80641,6559.468693,7081.381948,8201.701338,9167.146875,9600.599528,10361.34881,10575.79715,11291.47645,11473.30084,11082.35286,10873.40475,10613.06588,10991.23467,11374.60567,11783.7972,20367.57327,21667.44882,24041.09332,24940.07751,25371.92377,26781.61959,26429.12478,26650.29342,28602.41819,29184.78651,30051.84896,29392.38244,27512.9131,27473.10043,27090.83768,28552.02427,27642.74198,29137.21756,30719.40542,30616.53632,31875.48817,32642.33532,33640.33699,26178.75376,30367.86058,34957.16133,38231.77448,39455.44665
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.882622,1373.371045,1118.175699,929.8721187,337.090896,502.365981,718.9337971,913.8133991,1006.704797,1134.60298,1338.480596,1387.893651,1606.546722,2033.947009,2452.686168,2739.610769,3166.128653,3931.489487,4841.693119,4539.918638,4506.478285,4982.693758,4693.788991,5034.56616,5206.065583,4662.258837,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332,7295.343824,7655.59421,8663.02323,8957.372942
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.640919,1805.455925,1658.086413,1589.510113,1460.007914,1370.699914,1452.507105,1396.657187,1511.259791,1210.587439,1276.280381,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.318093,5967.055951,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558,7489.718947,7994.648061,7896.753883,8316.647763
