,year,name,alpha_2,abb,christian,islam,buddhist,judaism,nonrelig,other,pop
423,1997,Burkina Faso,BF,BFO,0.17891702846293686,0.528087415798918,0.0,0.0,0.005040785529518614,0.2873642071856481,10904848
424,1998,Burkina Faso,BF,BFO,0.19406933825141198,0.5462961782548541,0.0,0.0,0.004866996214765072,0.25383144815248027,11295468
425,1999,Burkina Faso,BF,BFO,0.2069609166010593,0.5614282741651417,0.0,0.0,0.0047179812809847324,0.22605148050978532,11653925
426,2000,Burkina Faso,BF,BFO,0.21458833877858757,0.57,0.0,0.0,0.004607522828181285,0.21080413839323112,11937000
427,2001,Burkina Faso,BF,BFO,0.2176848157704622,0.573381534227539,0.0,0.0,0.004565402753171117,0.20525165556636668,12132555
428,2002,Burkina Faso,BF,BFO,0.21947963267767515,0.5755128166920634,0.0,0.0,0.00459283187637844,0.2014990684054694,12281094
429,2003,Burkina Faso,BF,BFO,0.22088737027670974,0.5769790300745122,0.0,0.0,0.004660439755471658,0.1983232724202785,12418356
430,2004,Burkina Faso,BF,BFO,0.2227552961118365,0.5783115971141037,0.0,0.0,0.00473995471252245,0.19460618606657287,12580078
431,2005,Burkina Faso,BF,BFO,0.2258631463833776,0.58,0.0,0.0,0.00480393688486174,0.18933291673176067,12802000
432,2006,Burkina Faso,BF,BFO,0.23299188131271237,0.5813361817178401,0.0,0.0,0.004850330442839979,0.1806170488475823,13140548
433,2007,Burkina Faso,BF,BFO,0.2451345491346661,0.581548231505821,0.0,0.0,0.004894872997036042,0.1682001927388383,13612202
434,2008,Burkina Faso,BF,BFO,0.26035882474875605,0.5810042966923037,0.0,0.0,0.004937370259719415,0.15355746422581965,14192778
435,2009,Burkina Faso,BF,BFO,0.27695340486112113,0.5800537013661576,0.0,0.0,0.004977959825940001,0.13796957146928998,14858095
436,2010,Burkina Faso,BF,BFO,0.29352928599442707,0.5789999055439539,0.0,0.0,0.005017207427530652,0.12245347269706919,15583968
437,1945,Bulgaria,BG,BUL,0.8570621037463977,0.1347864553314121,5.619596541786743e-06,0.006244380403458213,0.0016635446685878963,0.00023789625360230547,6940000
438,1946,Bulgaria,BG,BUL,0.8543925216840083,0.12874804508920842,3.853095455587866e-06,0.004863462708386462,0.01175436716260762,0.00016482686115570317,7007353
439,1947,Bulgaria,BG,BUL,0.8510828160570112,0.12324972074148438,2.262347468291786e-06,0.003621028519717772,0.021723060390537733,0.00010477496712526335,7072300
440,1948,Bulgaria,BG,BUL,0.8470275644104682,0.11840924409829129,1.121285059955813e-06,0.0025977371626526298,0.031583236283775386,5.9568268810152566e-05,7134671
441,1949,Bulgaria,BG,BUL,0.8421233549810447,0.11434103193447474,2.7799809126510536e-07,0.0018720391465792195,0.04134874109954361,3.11357862216918e-05,7194294
442,1950,Bulgaria,BG,BUL,0.8362679630395807,0.1111570817818232,0.0,0.0015200661977658255,0.05103365053096125,2.123844986898359e-05,7251000
443,1951,Bulgaria,BG,BUL,0.8292979612416401,0.10874053474699735,0.0,0.0014027820931935353,0.06064362282580073,2.8756759036571888e-05,7302631
444,1952,Bulgaria,BG,BUL,0.821494435196758,0.10675825822025893,0.0,0.0013208907277226227,0.0701978315513282,4.857416458559706e-05,7349586
445,1953,Bulgaria,BG,BUL,0.8134196269474274,0.10500456627425825,0.0,0.0012587339967434364,0.0797150872027223,7.545102268587792e-05,7395526
446,1954,Bulgaria,BG,BUL,0.8056373428119681,0.10328286390179618,0.0,0.0012014868130642885,0.08919508174919501,0.00010424348914779604,7444110
