,year,name,christian,islam,buddhist,nonrelig,judaism,other,pop
1224,1960,NEW,2264441,649,1178,63755,3443,38534,2372000
1225,1965,NEW,2507639,824,1266,81379,3619,33273,2628000
1226,1970,NEW,2681122,998,1355,99003,3795,24727,2811000
1227,1975,NEW,2873329,1099,1447,168706,4097,34322,3083000
1228,1980,NEW,2836440,1200,1540,238410,4400,31010,3113000
1229,1985,NEW,2852040,3500,14120,337735,4500,35105,3247000
1230,1990,NEW,2830080,5800,26700,437060,4600,57760,3362000
1231,1995,NEW,2698123,21630,43473,672980,4462,101332,3542000
1232,2000,NEW,2535249,35000,41709,1033471,7500,209071,3862000
1233,2005,NEW,2235307,46326,86935,1620169,4445,140818,4134000
1234,2010,NEW,2361557,48943,91846,1711677,4696,148771,4367490
1235,1945,NIC,912867,0,0,0,0,10133,923000
1236,1950,NIC,1052000,0,0,0,0,0,1052000
1237,1955,NIC,1213000,0,0,0,0,32000,1245000
1238,1960,NIC,1374000,0,0,0,0,37000,1411000
1239,1965,NIC,1504181,0,0,0,0,36819,1541000
1240,1970,NIC,1902333,0,1000,20530,200,128937,2053000
1241,1975,NIC,2268816,0,1000,13465,200,124519,2408000
1242,1980,NIC,2635300,0,1000,6400,200,128100,2771000
1243,1985,NIC,3224000,0,0,29800,0,18200,3272000
1244,1990,NIC,3716900,710,4200,47000,400,101790,3871000
1245,1995,NIC,4307600,786,5017,136097,248,89252,4539000
1246,2000,NIC,4898300,863,5835,225195,497,43310,5174000
1247,2005,NIC,4907725,1500,0,490500,0,50275,5450000
1248,2010,NIC,5242544,1602,0,523963,0,53706,5821815
1249,1960,NIG,16521997,15200800,340,69960,0,10511903,42305000
1250,1965,NIG,18470398,18983640,404,89712,0,11131846,48676000
1251,1970,NIG,21788872,22617710,480,115041,0,10547897,55070000
1252,1975,NIG,27618798,27642855,570,147520,795,7359462,62770000
1253,1980,NIG,33291760,32668000,660,180000,797,5882783,72024000
1254,1985,NIG,42889800,47758800,2830,190000,798,4847772,95690000
1255,1990,NIG,44038540,42899000,5000,200000,800,9010660,96154000
1256,1995,NIG,47688800,52361000,5477,258171,801,11407751,111722000
1257,2000,NIG,49263166,60000000,5954,316343,200,10414337,120000000
1258,2005,NIG,56317628,66214665,7000,385115,100,10842492,133767000
1259,2010,NIG,64726375,78284656,8229,484129,100,10606927,154110416
1260,1960,NIR,10000,2180160,0,1911,0,835929,3028000
1261,1965,NIR,12780,2770270,0,2228,0,727722,3513000
1262,1970,NIR,15562,3400711,0,2598,0,605129,4024000
1263,1975,NIR,19999,3956000,0,3029,0,620972,4600000
1264,1980,NIR,24640,4915680,0,3531,0,642149,5586000
1265,1985,NIR,45020,5881120,0,4117,0,677743,6608000
1266,1990,NIR,65400,6970000,0,4800,0,690800,7731000
1267,1995,NIR,52829,8450430,0,5596,0,642145,9151000
1268,2000,NIR,379700,9817950,0,8950,0,523400,10730000
1269,2005,NIR,446864,11590000,0,10533,0,580603,12628000
1270,2010,NIR,584548,13714412,0,15200,0,674269,14988429
1271,1945,NOR,3051167,124,0,23058,559,92,3075000
1272,1950,NOR,3240433,402,0,23087,836,242,3265000
1273,1955,NOR,3333509,1300,0,68540,838,22813,3427000
1274,1960,NOR,3426585,2198,0,107430,841,43946,3581000
1275,1965,NOR,3519138,3095,0,148920,870,50977,3723000
1276,1970,NOR,3590168,3993,100,232620,899,49220,3877000
1277,1975,NOR,3623033,4096,7027,320560,924,51360,4007000
1278,1980,NOR,3655897,4200,13955,367740,950,43258,4086000
1279,1985,NOR,3713291,9059,20882,373770,885,35113,4153000
1280,1990,NOR,3819633,13919,27809,339280,820,39539,4241000
1281,1995,NOR,3962924,18778,34737,261540,821,80200,4359000
1282,2000,NOR,3956900,62000,40000,326000,1200,78900,4465000
1283,2005,NOR,4168814,76621,9505,345000,1300,21760,4623000
1284,2010,NOR,4103723,99500,13450,540000,823,127586,4885082
1285,1955,NTH,9958686,22648,1386,742249,14451,11580,10751000
1286,1960,NTH,10476421,35211,2266,919329,14503,32270,11480000
1287,1965,NTH,10936461,47775,3147,1096408,22303,185906,12292000
1288,1970,NTH,11212975,60338,4027,1273487,30104,451069,13032000
1289,1975,NTH,11312510,101169,4113,1682128,31052,522028,13653000
1290,1980,NTH,11419245,142000,4200,2090769,32000,455786,14144000
1291,1985,NTH,11427907,338000,36000,2499410,29000,153683,14484000
1292,1990,NTH,11346000,533000,48000,2908051,26000,90949,14952000
1293,1995,NTH,11215247,626500,102930,3316692,25471,172160,15459000
1294,2000,NTH,10625781,780000,157860,4050000,24942,147417,15786000
1295,2005,NTH,10570926,897600,194208,4157560,25786,473920,16320000
1296,2010,NTH,9626041,963526,201012,5648257,25700,147986,16612522
1297,1970,OMA,0,745000,0,0,0,0,745000
1298,1975,OMA,0,841000,0,0,0,0,841000
1299,1980,OMA,9320,1091000,0,2400,0,27280,1130000
1300,1985,OMA,11751,1338000,0,0,0,75249,1425000
1301,1990,OMA,93400,1710525,13000,3800,0,179275,2000000
1302,1995,OMA,106500,2139556,0,0,0,153944,2400000
1303,2000,OMA,71500,2376959,5400,0,0,99441,2553300
1304,2005,OMA,83500,2412319,5140,0,0,99041,2600000
1305,2010,OMA,99499,2678195,8900,0,0,193360,2979954
1306,1950,PAK,936227,67158000,198000,3783,198,6323792,74620000
1307,1955,PAK,1087362,76809460,258500,9328,284,6241066,84406000
1308,1960,PAK,1350422,90308040,310000,14874,370,6753294,98737000
1309,1965,PAK,1711482,105146730,161669,20419,456,6020244,113061000
1310,1970,PAK,2506636,124130072,4338,25964,542,2056448,128724000
1311,1975,PAK,2146317,67121350,3369,20982,446,1740536,71033000
1312,1980,PAK,1786000,79277760,2400,16000,350,1498490,82581000
1313,1985,PAK,2811000,92013120,38700,53000,525,1555655,96472000
1314,1990,PAK,3836000,106633800,75000,90000,700,1768500,112404000
1315,1995,PAK,3391078,124026804,85697,111349,781,2255291,129871000
1316,2000,PAK,2660210,149741271,90000,152000,0,3839527,156483008
1317,2005,PAK,2617319,147326963,88548,149549,0,3777621,153960000
1318,2010,PAK,2863590,161189415,96880,163620,0,4133071,168446576
1319,1995,PAL,12470,340,170,340,0,3680,17000
1320,2000,PAL,15570,450,162,50,0,2768,19000
1321,2005,PAL,18100,500,150,300,0,2950,22000
1322,2010,PAL,18391,470,182,326,0,2001,21370
1323,1945,PAN,700400,0,0,0,0,2600,703000
1324,1950,PAN,787000,0,0,0,0,8000,795000
1325,1955,PAN,936540,0,0,0,0,9460,946000
1326,1960,PAN,1113440,0,0,0,0,12560,1126000
1327,1965,PAN,1256930,30000,750,0,1000,14320,1303000
1328,1970,PAN,1415422,55000,1500,0,2000,32078,1506000
1329,1975,PAN,1605770,0,0,0,1000,116230,1723000
1330,1980,PAN,1877766,28666,1666,13233,866,27803,1950000
1331,1985,PAN,2063280,0,0,0,0,103720,2167000
1332,1990,PAN,2292500,35000,12200,31466,1133,25701,2398000
1333,1995,PAN,2552070,11666,0,0,3400,63864,2631000
1334,2000,PAN,2773500,12655,2033,0,3778,64034,2856000
1335,2005,PAN,3161160,10000,12315,0,5000,39525,3228000
1336,2010,PAN,4166894,13181,16233,0,6590,52102,4255000
1337,1945,PAR,1121187,0,0,0,0,128813,1250000
1338,1950,PAR,1260070,0,0,0,0,110930,1371000
1339,1955,PAR,1539791,0,0,0,0,147209,1687000
1340,1960,PAR,1739655,0,0,0,0,102345,1842000
1341,1965,PAR,1939520,0,0,0,0,141480,2081000
1342,1970,PAR,2232000,0,1892,12126,1135,102847,2350000
1343,1975,PAR,2585900,0,1946,12213,1367,57574,2659000
1344,1980,PAR,3033100,0,2000,12300,1600,65000,3114000
1345,1985,PAR,3435000,0,2000,0,0,172000,3609000
1346,1990,PAR,4142546,0,6200,20000,2400,47854,4219000
1347,1995,PAR,4624128,0,0,0,0,203872,4828000
1348,2000,PAR,5329016,1000,5524,137400,1365,21695,5496000
1349,2005,PAR,5367889,1270,4516,188768,1500,335057,5899000
1350,2010,PAR,6138983,3873,14783,193658,3208,100787,6455292
1351,1945,PER,6779700,0,0,0,0,510300,7290000
1352,1950,PER,7668000,0,0,0,0,301000,7969000
1353,1955,PER,8170818,0,0,0,0,619182,8790000
1354,1960,PER,9561000,0,0,0,0,370000,9931000
1355,1965,PER,11021650,0,0,0,0,445350,11467000
1356,1970,PER,13001607,150,10000,16500,2500,162243,13193000
1357,1975,PER,14552950,0,0,21500,0,586550,15161000
1358,1980,PER,17048745,200,3000,68557,3300,200198,17324000
1359,1985,PER,19003080,0,3500,75000,3500,406920,19492000
1360,1990,PER,21346550,250,7000,85000,4500,125700,21569000
1361,1995,PER,23290887,232,13121,89500,3763,134497,23532000
1362,2000,PER,23532720,5600,8200,461916,3027,1650537,25662000
1363,2005,PER,26698560,6200,8500,862141,3000,232599,27811000
1364,2010,PER,27579681,6000,10200,1176105,3000,627660,29402646
1365,1950,PHI,18822682,826220,22100,26499,330,577169,20275000
1366,1955,PHI,21937059,942720,29506,45223,377,613115,23568000
1367,1960,PHI,25233478,1083520,36912,63947,424,669719,27088000
1368,1965,PHI,29701787,1350642,44318,82671,470,701112,31881000
1369,1970,PHI,34409552,1617764,51724,101395,517,503048,36684000
1370,1975,PHI,39122878,1913882,52862,127197,608,853573,42071000
1371,1980,PHI,45065360,2210000,54000,153000,700,833940,48317000
1372,1985,PHI,50587120,2642000,67000,226500,775,1144605,54668000
1373,1990,PHI,56991959,2828080,61480,300000,850,1297631,61480000
1374,1995,PHI,63749979,3724151,83681,486154,575,2222460,70267000
1375,2000,PHI,70508000,4055030,76510,490000,300,1380160,76510000
1376,2005,PHI,76584168,4464773,96877,765751,300,2329131,84241000
1377,2010,PHI,84493445,5113771,105000,858781,300,1526681,92097978
1378,1975,PNG,2615347,0,1562,1678,343,77070,2696000
1379,1980,PNG,2849420,300,2500,3200,380,122200,2978000
1380,1985,PNG,3183795,600,4000,6100,420,142085,3337000
1381,1990,PNG,3513400,900,5500,9000,460,168740,3698000
1382,1995,PNG,3891350,1094,6691,14539,513,159813,4074000
1383,2000,PNG,4614720,4000,2000,25000,0,161280,4807000
1384,2005,PNG,5873280,5090,2545,31818,0,205267,6118000
1385,2010,PNG,6611410,1832,2865,35816,813,234151,6886887
1386,1945,POL,22731079,624,0,1098788,250000,101509,24182000
1387,1950,POL,23585121,499,0,1080193,150000,8187,24824000
1388,1955,POL,25934561,399,0,1093650,50000,202390,27281000
1389,1960,POL,28166330,300,0,1086107,45000,263263,29561000
1390,1965,POL,30108152,200,0,1078564,31000,278084,31496000
1391,1970,POL,31507995,100,0,991022,24667,2216,32526000
1392,1975,POL,32993696,590,0,1003479,18333,5902,34022000
1393,1980,POL,34508703,1080,0,1055936,12000,281,35578000
1394,1985,POL,35949899,2790,0,1048393,8470,193448,37203000
1395,1990,POL,37050000,4500,900,1040850,4940,17810,38119000
1396,1995,POL,37293803,5303,1458,1252114,1410,33912,38588000
1397,2000,POL,36631210,2500,0,1938250,1400,191640,38765000
1398,2005,POL,35958000,2700,1984,2098855,1400,98061,38161000
1399,2010,POL,34539629,5100,1500,3054633,1600,580458,38182920
1400,1945,POR,7985663,0,0,63342,918,77,8050000
1401,1950,POR,8301840,0,0,102020,1000,140,8405000
1402,1955,POR,8493771,0,0,114883,1089,257,8610000
1403,1960,POR,8739903,0,0,147747,1179,54171,8943000
1404,1965,POR,8730983,0,0,232822,1268,163927,9129000
1405,1970,POR,8722040,833,0,317897,1357,1873,9044000
1406,1975,POR,8714810,4335,0,362393,1328,10134,9093000
1407,1980,POR,9335680,9667,0,406889,1300,12464,9766000
1408,1985,POR,9525108,15000,0,451384,1000,18508,10011000
1409,1990,POR,9344537,20000,50000,395880,500,88083,9899000
1410,1995,POR,9263964,28910,52650,529871,467,40138,9916000
1411,2000,POR,8437963,35000,55300,342987,1773,1001977,9875000
1412,2005,POR,8780641,62993,57449,539444,2482,1105991,10549000
1413,2010,POR,9123319,90987,59598,735901,3192,629508,10642505
1414,1950,PRK,189760,0,379520,3700320,0,5218400,9488000
1415,1955,PRK,176960,0,353920,3981600,0,4335520,8848000
1416,1960,PRK,210500,0,421000,5367750,0,4525750,10525000
1417,1965,PRK,241220,0,482440,6633550,0,4703790,12061000
1418,1970,PRK,285260,0,570520,9128320,0,4278900,14263000
1419,1975,PRK,326020,0,652040,11084680,0,4238260,16301000
1420,1980,PRK,323800,0,529980,13072840,0,3739380,17666000
1421,1985,PRK,378840,0,568260,14964180,0,3030720,18942000
1422,1990,PRK,347260,2200,610890,16086770,0,3315880,20363000
1423,1995,PRK,462909,2302,662910,17235660,0,3733219,22097000
1424,2000,PRK,400000,0,1100000,15461884,0,7077116,24039000
1425,2005,PRK,395355,0,1087233,15282432,0,6994980,23760000
1426,2010,PRK,405910,0,1116257,15690406,0,7181715,24394288
1427,1970,QAT,0,120000,0,0,0,0,120000
1428,1975,QAT,0,169290,0,0,0,1710,171000
1429,1980,QAT,14500,210580,0,0,0,3920,229000
1430,1985,QAT,22665,323500,0,0,0,11835,358000
1431,1990,QAT,34500,416600,9000,0,0,25900,486000
1432,1995,QAT,27781,500600,0,0,0,19619,548000
1433,2000,QAT,86566,281530,12901,10574,0,207429,599000
1434,2005,QAT,63210,553335,17760,26640,0,83084,744029
1435,2010,QAT,245603,798733,36603,30000,0,588496,1699435
1436,1950,ROK,1832130,0,2849980,11135,0,15663755,20357000
1437,1955,ROK,1928160,769,3427840,35267,0,16031964,21424000
1438,1960,ROK,2751320,1538,4252040,59400,0,17947702,25012000
1439,1965,ROK,4018700,2307,4853016,83532,0,19747445,28705000
1440,1970,ROK,5898921,3076,5453992,107664,0,20777347,32241000
1441,1975,ROK,8654360,3388,6348776,147332,0,20127144,35281000
1442,1980,ROK,11409800,3700,7243560,187000,0,19279940,38124000
1443,1985,ROK,8359029,4500,8151624,23216356,150,1074341,40806000
1444,1990,ROK,10035047,6000,9279818,22584835,125,963175,42869000
1445,1995,ROK,11711066,7500,10408012,21953315,100,1013007,45093000
1446,2000,ROK,12736825,38750,10632237,21909247,100,1526841,46844000
1447,2005,ROK,13762585,70000,10856463,21865180,100,1583672,48138000
1448,2010,ROK,13973291,71071,11022677,22199939,101,1607921,48875000
1449,1945,ROM,12996000,163540,0,324182,131707,64571,13680000
1450,1950,ROM,15516103,179421,0,469330,138795,7351,16311000
1451,1955,ROM,16266101,196844,0,708608,146264,7183,17325000
1452,1960,ROM,17016099,214267,0,987887,143132,41615,18403000
1453,1965,ROM,17631097,231689,0,1000165,140000,24049,19027000
1454,1970,ROM,18516094,249112,0,1376443,110000,1351,20253000
1455,1975,ROM,19180047,200816,0,1735722,90000,38415,21245000
1456,1980,ROM,19798540,152520,0,1985000,65000,199940,22201000
1457,1985,ROM,20641540,40000,0,1992500,40000,10960,22725000
1458,1990,ROM,21180551,45928,0,1965000,9670,5851,23207000
1459,1995,ROM,21446333,61592,0,1150260,8217,14598,22681000
1460,2000,ROM,21984877,67257,0,230000,7500,37366,22327000
1461,2005,ROM,21407729,76128,0,260000,8500,47643,21800000
1462,2010,ROM,20899522,85000,0,350000,9500,89160,21433182
1463,1945,RUS,59509308,25578947,723549,85877000,4043462,1567734,177300000
1464,1950,RUS,61415885,26000000,754514,86668696,3907628,1328277,180075000
1465,1955,RUS,65757632,28500000,786804,95989444,3776357,1348763,196159000
1466,1960,RUS,70501062,30000000,819093,106310192,3645085,3053568,214329000
1467,1965,RUS,74134211,30074250,851383,115630940,3513814,6731402,230936000
1468,1970,RUS,77767360,30148500,883672,124951688,3382543,5633237,242767000
1469,1975,RUS,75435002,30222750,800254,136526617,3251271,8233106,254469000
1470,1980,RUS,73102643,30297000,716836,148101547,3120000,10145974,265484000
1471,1985,RUS,70771650,31360000,633418,159676476,2987095,11905361,277334000
1472,1990,RUS,68566005,28541901,550000,171251405,2854190,9580499,281344000
1473,1995,RUS,32225158,14777400,552705,93097620,897498,6223619,147774000
1474,2000,RUS,105985210,20570760,1796711,17800000,622175,159144,146934000
1475,2005,RUS,103229800,20035960,1750000,17200000,606000,292240,143114000
1476,2010,RUS,105697556,16482000,0,20000000,194000,26444,142400000
1477,1965,RWA,1826997,280985,0,0,0,1022018,3130000
1478,1970,RWA,2256319,307008,0,0,0,1126673,3690000
1479,1975,RWA,2726858,335440,0,500,0,1130202,4193000
1480,1980,RWA,3603000,464580,0,1000,0,1093420,5162000
1481,1985,RWA,4475220,550000,0,1500,0,1025280,6052000
1482,1990,RWA,5702750,556056,0,2000,0,920194,7181000
1483,1995,RWA,4359705,362880,0,8782,0,452633,5184000
1484,2000,RWA,6779963,328674,0,15564,0,608799,7733000
1485,2005,RWA,8064826,449600,0,22500,0,455074,8992000
1486,2010,RWA,9252868,475843,0,36200,0,579525,10344436
1487,1945,SAF,6397701,67655,53,7396,59997,4732198,11265000
1488,1950,SAF,8179873,102088,194,19918,75867,4932060,13310000
1489,1955,SAF,9904406,154044,707,53634,95933,4702276,14911000
1490,1960,SAF,12518374,206000,1220,87350,116000,4193056,17122000
1491,1965,SAF,14669841,237748,1733,121065,117738,4458875,19607000
1492,1970,SAF,17146838,269496,2246,154781,119477,4765162,22458000
1493,1975,SAF,19751186,315748,2473,526464,138538,4934591,25669000
1494,1980,SAF,22598100,362000,2700,898147,157600,5151453,29170000
1495,1985,SAF,25537066,351000,44600,1269831,128800,5711703,33043000
1496,1990,SAF,28864199,436871,65549,1455672,114400,6129309,37066000
1497,1995,SAF,35332102,490700,25500,3250000,91116,2054582,41244000
1498,2000,SAF,31630111,654000,98000,1850000,75749,6069140,40377000
1499,2005,SAF,37919459,749500,128535,2525000,78642,5933864,47335000
1500,2010,SAF,40488807,845000,159070,3200000,81536,5247675,50022088
1501,1945,SAL,1565906,0,0,0,0,174094,1740000
1502,1950,SAL,1693000,0,0,0,0,166000,1859000
1503,1955,SAL,1946500,0,0,0,0,188500,2135000
1504,1960,SAL,2400000,0,0,0,0,178000,2578000
1505,1965,SAL,2730140,0,0,0,0,89860,2820000
1506,1970,SAL,3462438,0,300,2400,300,68562,3534000
1507,1975,SAL,3431933,0,300,71574,300,29893,3534000
1508,1980,SAL,4392100,0,800,12200,410,102490,4508000
1509,1985,SAL,4637480,0,0,199000,0,19520,4856000
1510,1990,SAL,4865340,1550,540,70000,500,93070,5031000
1511,1995,SAL,5288450,1656,301,289416,282,81895,5662000
1512,2000,SAL,5711560,1763,602,508833,565,52677,6276000
1513,2005,SAL,5803034,0,0,562936,282,30748,6397000
1514,2010,SAL,6209779,2027,0,800563,648,199271,7212288
1515,1945,SAU,0,2830000,0,0,0,36000,2866000
1516,1950,SAU,0,3145000,0,0,0,56000,3201000
1517,1955,SAU,0,3550000,0,0,0,43000,3593000
1518,1960,SAU,0,4035000,0,0,0,40000,4075000
1519,1965,SAU,0,4581000,0,0,0,212000,4793000
1520,1970,SAU,0,5687550,0,0,0,57450,5745000
1521,1975,SAU,76500,7039500,0,0,0,135000,7251000
1522,1980,SAU,153000,9400000,5000,30000,0,16000,9604000
1523,1985,SAU,328200,12151000,29000,15000,0,125800,12649000
1524,1990,SAU,503400,14103600,53000,0,0,210000,14870000
1525,1995,SAU,557000,17695000,0,0,0,3000,18255000
1526,2000,SAU,650000,19351440,0,216070,0,590490,20808000
1527,2005,SAU,924760,21051150,0,462380,0,680710,23119000
1528,2010,SAU,782723,24477606,0,521815,0,308640,26090784
1529,1960,SEN,148162,2611939,248,79760,0,737891,3578000
1530,1965,SEN,184398,2939249,303,70367,0,724683,3919000
1531,1970,SEN,229500,3646780,371,60973,0,458376,4396000
1532,1975,SEN,257564,4277639,453,51580,0,386764,4974000
1533,1980,SEN,285630,4952910,555,42187,0,411718,5693000
1534,1985,SEN,320000,6118120,678,32793,0,436409,6908000
1535,1990,SEN,400000,6407000,830,23400,0,466770,7298000
1536,1995,SEN,411998,7328829,1015,20441,0,584717,8347000
1537,2000,SEN,377758,8852140,1242,15200,0,234660,9481000
1538,2005,SEN,433919,10159120,1300,16700,0,236961,10848000
1539,2010,SEN,421345,11346069,1631,20144,0,294909,12084098
1540,1980,SEY,61480,210,0,530,0,780,63000
1541,1985,SEY,63080,185,0,765,0,970,65000
1542,1990,SEY,67950,160,0,1000,0,890,70000
1543,1995,SEY,72574,515,0,344,0,1567,75000
1544,2000,SEY,72320,516,0,1540,0,2624,77000
1545,2005,SEY,76719,987,165,1190,0,3939,83000
1546,2010,SEY,81121,1459,331,840,0,2866,86617
1547,1965,SIE,159997,904222,0,0,0,1364781,2429000
1548,1970,SIE,223141,1035563,0,0,0,1397296,2656000
1549,1975,SIE,258219,1165981,0,0,0,1506800,2931000
1550,1980,SIE,305300,1336400,0,0,0,1594300,3236000
1551,1985,SIE,354000,1528000,0,0,0,1703000,3585000
1552,1990,SIE,452150,1798650,0,72300,0,1673900,3997000
1553,1995,SIE,419499,2433100,0,63163,0,1279238,4195000
1554,2000,SIE,856198,2813860,0,50000,0,1133942,4854000
1555,2005,SIE,1057208,3147566,0,76444,0,1224782,5506000
1556,2010,SIE,1169246,3396544,0,75086,0,1498398,6139274
1557,1965,SIN,141305,349389,195356,50762,367,1149821,1887000
1558,1970,SIN,161773,373180,200030,64030,400,1275587,2075000
1559,1975,SIN,185199,398590,204815,80765,435,1393196,2263000
1560,1980,SIN,208630,412800,209600,97500,470,1353000,2282000
1561,1985,SIN,265000,415000,342450,99320,525,1360705,2483000
1562,1990,SIN,352000,552000,452400,125000,580,1534020,3016000
1563,1995,SIN,484916,578219,503449,158354,671,1742391,3468000
1564,2000,SIN,586418,598618,1708366,596065,300,528233,4018000
1565,2005,SIN,758539,662809,1698436,599243,300,845673,4565000
1566,2010,SIN,930663,727000,1688506,602421,300,1163110,5112000
1567,1985,SKN,38690,0,0,60,0,5250,44000
1568,1990,SKN,35517,0,0,1701,0,3282,40500
1569,1995,SKN,36837,64,0,3094,0,3417,43412
1570,2000,SKN,38155,129,0,4488,0,3553,46325
1571,2005,SKN,41839,135,0,4494,0,1532,48000
1572,2010,SKN,45525,141,0,4500,0,534,50700
1573,1995,SLO,3899119,0,0,524315,927,939639,5364000
1574,2000,SLO,4519352,517,0,698286,2424,166421,5387000
1575,2005,SLO,4307433,514,0,713828,2377,362848,5387000
1576,2010,SLO,4101842,521,0,730349,2445,598986,5434143
1577,1980,SLU,123131,0,0,0,54,815,124000
1578,1985,SLU,135000,0,0,0,0,2000,137000
1579,1990,SLU,131057,0,0,200,0,1743,133000
1580,1995,SLU,135978,352,0,1873,0,6797,145000
1581,2000,SLU,141130,705,0,3547,0,8618,154000
1582,2005,SLU,146156,434,0,6611,0,11799,165000
1583,2010,SLU,151183,164,0,9676,0,2977,164000
1584,1995,SLV,1780836,47700,0,142635,330,16499,1988000
1585,2000,SLV,1580712,48019,0,201766,100,155403,1986000
1586,2005,SLV,1478349,54815,0,347328,152,120356,2001000
1587,2010,SLV,1375987,61611,0,492891,205,123020,2053714
1588,1995,SNM,22799,5,0,1750,0,446,25000
1589,2000,SNM,25650,5,0,1000,0,345,27000
1590,2005,SNM,29450,6,0,1200,0,344,31000
1591,2010,SNM,28088,6,0,3450,0,1000,32544
1592,1980,SOL,216760,165,767,400,0,8908,227000
1593,1985,SOL,253800,269,897,530,0,14504,270000
1594,1990,SOL,304000,440,1050,660,0,13850,320000
1595,1995,SOL,358780,717,1228,954,0,16321,378000
1596,2000,SOL,408480,1000,1500,1200,0,31820,444000
1597,2005,SOL,447270,1094,1642,1313,0,38681,490000
1598,2010,SOL,482878,1700,1750,1700,0,48505,536533
1599,1960,SOM,11219,3765000,0,6386,0,2395,3785000
1600,1965,SOM,9343,4209000,0,5528,0,15129,4239000
1601,1970,SOM,6516,4778000,0,4786,0,1698,4791000
1602,1975,SOM,6475,5401000,0,4143,0,59382,5471000
1603,1980,SOM,6436,6695000,0,3500,0,8064,6713000
1604,1985,SOM,6396,7805000,0,3200,0,60404,7875000
1605,1990,SOM,6357,8573000,0,2900,0,40743,8623000
1606,1995,SOM,6317,9401000,0,3686,0,79997,9491000
1607,2000,SOM,6277,10046515,0,4473,0,39735,10097000
1608,2005,SOM,4509,8303876,0,4185,0,41430,8354000
1609,2010,SOM,4333,9283692,0,4087,0,38233,9330345
1610,1945,SPN,26316757,5605,0,41420,9292,426926,26800000
1611,1950,SPN,27866921,6974,0,104698,9467,20940,28009000
1612,1955,SPN,28880553,8676,0,264646,9645,35480,29199000
1613,1960,SPN,30029122,10378,0,400594,9822,5084,30455000
1614,1965,SPN,31510692,12080,0,519341,10000,3887,32056000
1615,1970,SPN,33118261,12782,500,618089,11600,17768,33779000
1616,1975,SPN,34819831,9641,4500,730744,10950,20334,35596000
1617,1980,SPN,36748102,5500,8500,755000,9300,15598,37542000
1618,1985,SPN,37216775,27000,12500,1180000,12000,25725,38474000
1619,1990,SPN,37464150,170000,16500,1271000,12800,24550,38959000
1620,1995,SPN,37249500,300000,13838,1590737,29583,26342,39210000
1621,2000,SPN,34100000,450000,12000,4953750,52000,62250,39630000
1622,2005,SPN,36380000,1100000,9000,5858730,35000,15270,43398000
1623,2010,SPN,37121529,1400000,10200,7372239,12000,160528,46076496
1624,1950,SRI,622786,549745,4896154,9756,0,1599559,7678000
1625,1955,SRI,746100,580300,5669950,21272,0,1705378,8723000
1626,1960,SRI,884000,724000,6427850,32789,0,1820361,9889000
1627,1965,SRI,1004760,818834,7479780,44305,0,1816321,11164000
1628,1970,SRI,1084191,913668,8433620,55821,0,2028700,12516000
1629,1975,SRI,1162416,1013584,9392060,105410,0,1822530,13496000
1630,1980,SRI,1262600,1113500,10050200,155000,0,2165700,14747000
1631,1985,SRI,1288100,1224000,11160000,217500,0,1952400,15842000
1632,1990,SRI,1313600,1500000,11650720,250000,0,2278680,16993000
1633,1995,SRI,1448959,1448960,12447280,190503,0,2576298,18112000
1634,2000,SRI,1187918,1453159,12985000,60000,0,1413923,17100000
1635,2005,SRI,1573438,1376759,13537599,85000,0,3095204,19668000
1636,2010,SRI,1495578,1975865,14467488,9481,0,2641666,20590078
1637,1975,STP,76950,0,0,0,0,6050,83000
1638,1980,STP,91340,0,0,0,0,2660,94000
1639,1985,STP,98980,0,0,0,0,3020,102000
1640,1990,STP,110000,50,0,900,0,4050,115000
1641,1995,STP,116795,54,0,1167,0,3984,122000
1642,2000,STP,129632,58,0,4450,0,12860,147000
1643,2005,STP,139070,1250,0,3235,0,5445,149000
1644,2010,STP,153810,2443,0,2020,0,4642,162915
1645,1960,SUD,344000,8000000,0,0,0,2821000,11165000
1646,1965,SUD,546270,8685300,0,0,0,3127430,12359000
1647,1970,SUD,758720,9649200,0,0,0,3451080,13859000
1648,1975,SUD,795005,11202000,0,0,0,3728995,15726000
1649,1980,SUD,1639815,13637130,0,0,0,3404055,18681000
1650,1985,SUD,1733968,16075066,0,0,0,4299966,22109000
1651,1990,SUD,4132500,17384983,0,220000,1200,4013317,25752000
1652,1995,SUD,4478143,18694900,0,0,0,3533957,26707000
1653,2000,SUD,3502171,20053200,0,0,0,5934629,29490000
1654,2005,SUD,2927790,24777900,0,0,0,7691310,35397000
1655,2010,SUD,2867533,28488914,0,401252,0,8367533,40125232
1656,1975,SUR,216774,71400,1100,5225,750,68751,364000
1657,1980,SUR,218450,63800,1200,6800,850,63900,355000
1658,1985,SUR,241000,84000,0,0,0,59000,384000
1659,1990,SUR,235351,65091,1400,0,525,99633,402000
1660,1995,SUR,225995,67800,0,0,0,115205,409000
1661,2000,SUR,234934,69493,617,3241,191,108524,417000
1662,2005,SUR,274703,82468,893,7200,276,133460,499000
1663,2010,SUR,271680,110936,0,0,290,183094,566000
1664,1980,SVG,88650,0,0,590,0,8760,98000
1665,1985,SVG,92000,0,0,0,0,10000,102000
1666,1990,SVG,91423,1500,0,1470,0,11607,106000
1667,1995,SVG,96441,750,0,1951,0,11858,111000
